datetime,cart,Record Count
"Jun 23, 2021","{""loveislove&cornflakes,cornflakes,cornflakes,cornflakes,cereal,cereal"":1,""bannuts~s"":0}",1
"Jun 23, 2021","{""salt"":1,""redvelvet"":1,""hella"":1}",1
"Jun 23, 2021","{""deathchoc"":1,""deathcake"":1,""banultimate~s"":1}",1
"Jun 23, 2021","{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""gm4rkd8l6y"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"Jun 23, 2021","{""cake"":[{""count"":""8"",""price"":1660,""quantity"":1,""id"":""uspyh1s7239"",""BANANA NUTELLA"":1,""VERY BERRY BASQUE CHEESECAKE"":1,""CARROT CREAM CHEESE"":1,""CHOCOLATE PUDDING"":1,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":1,""STRAWBERRY KISS"":1,""BLACKOUT CHOCOLATE CAKE"":1,""extra"":"""",""title"":""Large box of 8""}]}",1
"Jun 23, 2021","{""cereal"":1,""candy"":1,""cupc"":1,""hella"":1}",1
"Jun 23, 2021","{""heart-S&ganache.gold"":1}",1
"Jun 23, 2021","{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""b3mssjfffvt"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"Jun 23, 2021","{""peanut"":2,""kiss-1lb"":1}",1
"Jun 23, 2021","{""blackout-1lb#extraferrero"":0,""chocpudding-1lb#extraferrero"":1}",1
"Jun 23, 2021","{""chocpudding-1lb"":1}",2
"Jun 23, 2021","{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""qadlrpsdtx"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":18,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Double box of 18""}]}",1
"Jun 23, 2021","{""valrhona"":3}",1
"Jun 23, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":0,""id"":""ow406kxbkl"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":5,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""},{""count"":""5"",""price"":450,""quantity"":1,""id"":""jqu5fxpqtm"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":3,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""valrhona"":1,""salt"":1}",1
"Jun 23, 2021","{""custom"":[{""title"":""1 lb choc pudding cake ***ตกเเต่งรูป​หัวใจ​สีชมพู​ตามภาพ มุกสีขาว*​** "",""price"":2000,""quantity"":1,""id"":""lf2djyubbe""}]}",1
"Jun 23, 2021","{""hella"":2,""pbj"":1}",1
"Jun 23, 2021","{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":0,""id"":""igviizshzg"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":0,""id"":""bj1o5b4vqbh"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":2,""extra"":"""",""title"":""Large box of 8""}],""heart-S&ganache.gold"":1}",1
"Jun 22, 2021","{""ferrero-1lb"":1}",1
"Jun 22, 2021","{""hella"":1,""cupc"":1,""redvelvet"":1,""salt"":1,""pbj"":1,""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""lx3cp0tgks"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"Jun 22, 2021","{""custom"":[{""title"":""Cereal killer ice cream 1 pint "",""price"":450,""quantity"":1,""id"":""hj17nin75yp""},{""title"":""คุกกี้เค้กขนาด 1 ปอนด์ /รสชาติ death by chocolate "",""price"":950,""quantity"":1,""id"":""pwmbh0whr1q""},{""title"":""เทียนสีทอง 1 แพ็ค "",""price"":50,""quantity"":1,""id"":""tplj67afa7j""}]}",1
"Jun 22, 2021","{""heart-S&ganache.gold"":1}",1
"Jun 22, 2021","{""loveislove&mamaog,sexyback,doubletrouble,mamaog,cereal,candy"":1}",1
"Jun 22, 2021","{""coconut-1lb"":1}",2
"Jun 22, 2021","{""loveislove&doubletrouble,cornflakes,mamaog,mamaog,candy,candy"":0,""loveislove&cornflakes,doubletrouble,mamaog,mamaog,cereal,candy"":1}",1
"Jun 22, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""xwfaptcdnfo"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":3,""SEXY BACK"":2,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""banana_slice"":1}",1
"Jun 22, 2021","{""loveislove&matcha,matcha,cornflakes,cornflakes,cereal,candy"":1}",1
"Jun 22, 2021","{""loveislove&caramelly"":1}",1
"Jun 22, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""15pog5yfr8y"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""l5gytj9661"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}],""banana_slice"":1}",1
"Jun 22, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""1h2siqvchakh"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":3,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""cereal"":0}",1
"Jun 22, 2021","{""loveislove&chocolate"":1}",1
"Jun 22, 2021","{""pbj"":2}",1
"Jun 22, 2021","{""berry-1lb"":1}",1
"Jun 22, 2021","{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":0,""id"":""m090k1oegu"",""BAE BROWNIE"":2,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Large box of 8""}],""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""uwse7rz38i"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 22, 2021","{""candy"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""qgx43d7n7n8"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 22, 2021","{""cereal"":1,""candy"":1,""berry_slice"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""oi3yjubk53g"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 22, 2021","{""chocpudding-1lb"":1}",1
"Jun 22, 2021","{""heart-S&redvelvet.pink"":1,""coconut_slice"":1,""kiss_slice"":1}",1
"Jun 22, 2021","{""cereal"":3,""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""1p7r5t9kaqzj"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":10,""RED VELVET CREAM CHEESE BROWNIE BITES"":8,""extra"":"""",""title"":""Double box of 18""}]}",1
"Jun 22, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""uo3y9t0rc5m"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""cupc"":1,""salt"":1,""cereal"":2,""banultimate~s"":1,""berry_slice"":1}",1
"Jun 22, 2021","{""heart-set&redvelvet,ganache.pinkgold"":1}",1
"Jun 22, 2021","{""care"":1,""banultimate~l"":1}",1
"Jun 22, 2021","{""berry-1lb"":1,""loveislove&babyog,cornflakes,sexyback,cornflakes,cereal,candy"":1,""custom"":[{""title"":""แถม Triple C 1 ชิ้น"",""price"":0,""quantity"":1,""id"":""a26ez8tmapc""}]}",1
"Jun 22, 2021","{""heart-set&redvelvet,ganache.pinkgold"":0,""heart-L&ganache.pink"":1}",1
"Jun 22, 2021","{""custom"":[{""title"":""1​ lb​ Red​ velvet​ ตกแต่ง​แบบ​ Lady​ in​ pink​ สีชมพู​"",""price"":1800,""quantity"":1,""id"":""hthu0cq8aue""}],""mixedberry-1lb"":1,""loveislove&chocolate"":1}",1
"Jun 22, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""i672mjolxy"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":3,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""pbj"":1,""brownie"":[{""count"":""18"",""price"":640,""quantity"":2,""id"":""t6fpxzo3jh"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"Jun 22, 2021","{""chocpudding-2lb"":0,""kiss-2lb"":1}",1
"Jun 22, 2021","{""chocpudding-2lb"":1}",1
"Jun 21, 2021","{""valrhona"":3,""candy"":0}",1
"Jun 21, 2021","{""berry-1lb"":1,""deathchoc"":1}",1
"Jun 21, 2021","{""kiss-1lb"":1}",1
"Jun 21, 2021","{""hella"":1,""cupc"":1,""deathchoc"":1,""banana_slice"":1}",1
"Jun 21, 2021","{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""4qwc1jm79mc"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":18,""extra"":"""",""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""izbz6an39bp"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 21, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""67hcymgs4e7"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":3,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"Jun 21, 2021","{""heart-set&redvelvet,ganache.pinkgold"":1,""banog~s"":3,""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""svx4aqt17w"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""e81r7u36q1d"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 21, 2021","{""deathcake"":1}",1
"Jun 21, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""61l9lhgo3rd"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""cereal"":0}",1
"Jun 21, 2021","{""chocpudding-1lb#extraferrero"":1}",1
"Jun 21, 2021","{""loveislove&chocolate"":0,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""lan505jdyw"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""redvelvet"":1,""banultimate~s"":1,""loveislove&mamaog,sexyback,doubletrouble,cornflakes,cereal,candy"":1}",1
"Jun 21, 2021","{""banana-1lb"":1}",1
"Jun 21, 2021","{""peanut"":2}",1
"Jun 21, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""1yomcbt1wt1"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""brownie"":[{""count"":""18"",""price"":640,""quantity"":2,""id"":""pr37u9db4i"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}],""cereal"":0}",1
"Jun 21, 2021","{""deathcake"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""ivbbgnlrrik"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"Jun 21, 2021","{""salt"":1}",1
"Jun 21, 2021","{""chocpudding-1lb"":1}",2
"Jun 21, 2021","{""care"":1}",3
"Jun 21, 2021","{""coconut-1lb"":1}",3
"Jun 21, 2021","{""hella"":3}",1
"Jun 21, 2021","{""salt"":1,""blackout_slice"":1}",1
"Jun 21, 2021","{""loveislove&mamaog,babyog,sexyback,doubletrouble,cereal,candy"":1}",1
"Jun 21, 2021","{""candy"":0,""hella"":1,""deathchoc"":1}",1
"Jun 21, 2021","{""custom"":[{""title"":""เค้กขนาด 1 ปอนด์ รสชาติ red velvet"",""price"":1500,""quantity"":1,""id"":""2bp5s08po6u""}]}",1
"Jun 21, 2021","{""kiss-2lb"":1,""custom"":[{""title"":""Love is Love "",""price"":0,""quantity"":0,""id"":""ien5zn0jhy8""},{""title"":""Quarantine cookies cake 1 ปอนด์/รสชาติ death by chocolate /ตกแต่งแบบที่ 2 "",""price"":0,""quantity"":1,""id"":""rw28bcvx5r9""}]}",1
"Jun 21, 2021","{""cereal"":1,""bancheese~s"":2,""banultimate~s"":1}",1
"Jun 21, 2021","{""custom"":[{""title"":""1​ lb​ Red​ velvet​ ตกแต่ง​แบบ​ Lady​ in​ pink​ สีชมพู​"",""price"":1800,""quantity"":1,""id"":""5zn2ed0tc3s""}]}",1
"Jun 20, 2021","{""cupc"":1,""deathchoc"":1}",1
"Jun 20, 2021","{""care"":1}",1
"Jun 20, 2021","{""banultimate~s"":2,""mayong-2lb"":0,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""27zlburqjw8"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 20, 2021","{""hella"":1,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""4iawlq0m5er"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}],""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""ur1fjj93xsc"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 20, 2021","{""loveislove&cornflakes,cornflakes,sexyback,sexyback,candy,cereal"":1}",2
"Jun 20, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""je5syhpstzq"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 20, 2021","{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""l1ysvm2mq28"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":3,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"Jun 20, 2021","{""custom"":[{""title"":""2ปอนด์​ Chocolate​ ganache​"",""price"":2500,""quantity"":1,""id"":""nzb5s6t2zj""}]}",1
"Jun 20, 2021","{""salt"":1,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""f07f5dv6clt"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"Jun 20, 2021","{""chocpudding-1lb#dearest"":1}",1
"Jun 20, 2021","{""cereal"":2,""hella"":1,""cupc"":1,""chocpudding_slice"":1,""berry_slice"":1}",1
"Jun 20, 2021","{""carrot_slice"":1,""bannutella~s"":1,""hella"":1,""pbj"":1}",1
"Jun 20, 2021","{""heart-L&ganache.pink"":1}",1
"Jun 20, 2021","{""berry-1lb"":1}",1
"Jun 20, 2021","{""redvelvet"":1,""bannutella~s"":1}",1
"Jun 20, 2021","{""custom"":[{""title"":""1​ lb​ Red​ velvet​ ตกแต่ง​แบบ​ Lady​ in​ pink​ สีชมพู​"",""price"":1800,""quantity"":1,""id"":""jvbqdy900gh""}]}",1
"Jun 20, 2021","{""cereal"":1,""cupc"":1,""hella"":2,""soft"":[{""count"":""0"",""price"":630,""quantity"":1,""id"":""mswymwx32qs"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"Jun 20, 2021","{""berry-2lb"":1}",1
"Jun 20, 2021","{""heart-S&redvelvet.pink"":1}",1
"Jun 20, 2021","{""loveislove&caramelly"":1}",1
"Jun 20, 2021","{""loveislove&caramelly"":2}",1
"Jun 20, 2021","{""chocpudding-2lb"":1}",1
"Jun 20, 2021","{""deathchoc"":1,""salt"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""m1ge8pepr"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"Jun 20, 2021","{""cereal"":0,""carrot-1lb#flower"":1,""carrot_slice"":1,""blackout_slice"":2}",1
"Jun 20, 2021","{""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""mzv0v5y6vjg"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}],""valrhona"":1}",1
"Jun 20, 2021","{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""1i5uedyyypt"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}],""brownie"":[{""count"":""9"",""price"":360,""quantity"":0,""id"":""y3v8ffdprhi"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 20, 2021","{""loveislove&cornflakes,cornflakes,sexyback,sexyback,cereal,candy"":1}",1
"Jun 20, 2021","{""candy"":6,""cereal"":6,""loveislove&matcha,matcha,sexyback,sexyback,cereal,candy"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""kseeyab9c5"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 20, 2021","{""cupc"":1,""valrhona"":1}",1
"Jun 19, 2021","{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""cafumhxwp27"",""BAE BROWNIE"":9,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""nir5xgh7gmb"",""BAE BROWNIE"":4,""FUDGE BROWNIE BITES"":5,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"Jun 19, 2021","{""loveislove&babyog,mamaog,cereal"":1}",1
